,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
1483,15 Oct 1977,Swansea City v York City,Swansea City,York City,York City,D,1-1,1,1,-,-,League Division Four,1977,1977,10,15,1,1
1484,22 Oct 1977,Stockport County v Swansea City,Stockport County,Swansea City,Stockport County,L,2-0,2,0,-,-,League Division Four,1977,1977,10,22,0,2
1485,29 Oct 1977,Swansea City v Reading,Swansea City,Reading,Reading,W,2-1,2,1,-,-,League Division Four,1977,1977,10,29,2,1
1486,05 Nov 1977,Wimbledon v Swansea City,Wimbledon,Swansea City,Wimbledon,D,1-1,1,1,-,-,League Division Four,1977,1977,11,5,1,1
1487,12 Nov 1977,Swansea City v Crewe Alexandra,Swansea City,Crewe Alexandra,Crewe Alexandra,W,5-0,5,0,-,-,League Division Four,1977,1977,11,12,5,0
1488,19 Nov 1977,Brentford v Swansea City,Brentford,Swansea City,Brentford,W,0-2,0,2,-,-,League Division Four,1977,1977,11,19,2,0
1489,26 Nov 1977,Leatherhead v Swansea City,Leatherhead,Swansea City,Leatherhead,D,0-0,0,0,-,-,FA Cup,1977,1977,11,26,0,0
1490,29 Nov 1977,Swansea City v Leatherhead,Swansea City,Leatherhead,Leatherhead,W,2-1,2,1,-,-,FA Cup,1977,1977,11,29,2,1
1491,03 Dec 1977,Swansea City v Northampton Town,Swansea City,Northampton Town,Northampton Town,L,2-4,2,4,-,-,League Division Four,1977,1977,12,3,2,4
1492,10 Dec 1977,Halifax Town v Swansea City,Halifax Town,Swansea City,Halifax Town,L,3-1,3,1,-,-,League Division Four,1977,1977,12,10,1,3
1493,17 Dec 1977,Portsmouth v Swansea City,Portsmouth,Swansea City,Portsmouth,D,2-2,2,2,-,-,FA Cup,1977,1977,12,17,2,2
1494,20 Dec 1977,Swansea City v Portsmouth,Swansea City,Portsmouth,Portsmouth,W,2-1,2,1,-,-,FA Cup,1977,1977,12,20,2,1
1495,26 Dec 1977,Swansea City v Torquay United,Swansea City,Torquay United,Torquay United,D,1-1,1,1,-,-,League Division Four,1977,1977,12,26,1,1
1496,27 Dec 1977,AFC Bournemouth v Swansea City,AFC Bournemouth,Swansea City,AFC Bournemouth,W,0-1,0,1,-,-,League Division Four,1977,1977,12,27,1,0
1497,31 Dec 1977,Hartlepool United v Swansea City,Hartlepool United,Swansea City,Hartlepool United,W,0-4,0,4,-,-,League Division Four,1977,1977,12,31,4,0
1498,02 Jan 1978,Swansea City v Wimbledon,Swansea City,Wimbledon,Wimbledon,W,3-0,3,0,-,-,League Division Four,1977,1978,1,2,3,0
1499,07 Jan 1978,Walsall v Swansea City,Walsall,Swansea City,Walsall,L,4-1,4,1,-,-,FA Cup,1977,1978,1,7,1,4
1500,10 Jan 1978,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,D,1-1,1,1,-,-,League Division Four,1977,1978,1,10,1,1
1501,14 Jan 1978,Swansea City v Huddersfield Town,Swansea City,Huddersfield Town,Huddersfield Town,W,1-0,1,0,-,-,League Division Four,1977,1978,1,14,1,0
1502,28 Jan 1978,Swansea City v Darlington,Swansea City,Darlington,Darlington,L,1-2,1,2,-,-,League Division Four,1977,1978,1,28,1,2
1503,17 Feb 1978,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,4-0,4,0,-,-,League Division Four,1977,1978,2,17,4,0
1504,25 Feb 1978,Aldershot v Swansea City,Aldershot,Swansea City,Aldershot,D,2-2,2,2,-,-,League Division Four,1977,1978,2,25,2,2
1505,27 Feb 1978,Rochdale v Swansea City,Rochdale,Swansea City,Rochdale,L,2-1,2,1,-,-,League Division Four,1977,1978,2,27,1,2
1506,03 Mar 1978,Swansea City v Watford,Swansea City,Watford,Watford,D,3-3,3,3,-,-,League Division Four,1977,1978,3,3,3,3
1507,07 Mar 1978,Swansea City v Southend United,Swansea City,Southend United,Southend United,D,0-0,0,0,-,-,League Division Four,1977,1978,3,7,0,0
1508,11 Mar 1978,York City v Swansea City,York City,Swansea City,York City,L,2-1,2,1,-,-,League Division Four,1977,1978,3,11,1,2
1509,17 Mar 1978,Swansea City v Stockport County,Swansea City,Stockport County,Stockport County,W,3-1,3,1,-,-,League Division Four,1977,1978,3,17,3,1
1510,24 Mar 1978,Reading v Swansea City,Reading,Swansea City,Reading,W,1-4,1,4,-,-,League Division Four,1977,1978,3,24,4,1
1511,25 Mar 1978,Swansea City v AFC Bournemouth,Swansea City,AFC Bournemouth,AFC Bournemouth,W,1-0,1,0,-,-,League Division Four,1977,1978,3,25,1,0
1512,27 Mar 1978,Torquay United v Swansea City,Torquay United,Swansea City,Torquay United,W,2-4,2,4,-,-,League Division Four,1977,1978,3,27,4,2
1513,01 Apr 1978,Swansea City v Hartlepool United,Swansea City,Hartlepool United,Hartlepool United,W,8-0,8,0,-,-,League Division Four,1977,1978,4,1,8,0
1514,04 Apr 1978,Southport v Swansea City,Southport,Swansea City,Southport,W,0-3,0,3,-,-,League Division Four,1977,1978,4,4,3,0
1515,08 Apr 1978,Crewe Alexandra v Swansea City,Crewe Alexandra,Swansea City,Crewe Alexandra,L,2-1,2,1,-,-,League Division Four,1977,1978,4,8,1,2
1516,11 Apr 1978,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,W,0-2,0,2,-,-,League Division Four,1977,1978,4,11,2,0
1517,15 Apr 1978,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,2-1,2,1,-,-,League Division Four,1977,1978,4,15,2,1
1518,18 Apr 1978,Grimsby Town v Swansea City,Grimsby Town,Swansea City,Grimsby Town,L,2-1,2,1,-,-,League Division Four,1977,1978,4,18,1,2
1519,22 Apr 1978,Northampton Town v Swansea City,Northampton Town,Swansea City,Northampton Town,L,3-1,3,1,-,-,League Division Four,1977,1978,4,22,1,3
1520,25 Apr 1978,Swansea City v Scunthorpe United,Swansea City,Scunthorpe United,Scunthorpe United,W,3-1,3,1,-,-,League Division Four,1977,1978,4,25,3,1
1521,29 Apr 1978,Swansea City v Halifax Town,Swansea City,Halifax Town,Halifax Town,W,2-0,2,0,-,-,League Division Four,1977,1978,4,29,2,0
1522,12 Aug 1978,Newport County v Swansea City,Newport County,Swansea City,Newport County,L,2-1,2,1,-,-,League Cup,1978,1978,8,12,1,2
1523,15 Aug 1978,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,5-0,5,0, 6-2,-,League Cup,1978,1978,8,15,5,0
1524,19 Aug 1978,Colchester United v Swansea City,Colchester United,Swansea City,Colchester United,D,2-2,2,2,-,-,League Division Three,1978,1978,8,19,2,2
1525,22 Aug 1978,Swansea City v Lincoln City,Swansea City,Lincoln City,Lincoln City,W,3-0,3,0,-,-,League Division Three,1978,1978,8,22,3,0
1526,26 Aug 1978,Oxford United v Swansea City,Oxford United,Swansea City,Oxford United,W,0-2,0,2,-,-,League Division Three,1978,1978,8,26,2,0
1527,29 Aug 1978,Swansea City v Tottenham Hotspur,Swansea City,Tottenham Hotspur,Tottenham Hotspur,D,2-2,2,2,-,-,League Cup,1978,1978,8,29,2,2
1528,02 Sep 1978,Swansea City v Bury,Swansea City,Bury,Bury,W,2-0,2,0,-,-,League Division Three,1978,1978,9,2,2,0
1529,06 Sep 1978,Tottenham Hotspur v Swansea City,Tottenham Hotspur,Swansea City,Tottenham Hotspur,W,1-3,1,3,-,-,League Cup,1978,1978,9,6,3,1
1530,09 Sep 1978,Watford v Swansea City,Watford,Swansea City,Watford,W,0-2,0,2,-,-,League Division Three,1978,1978,9,9,2,0
1531,12 Sep 1978,Swansea City v Rotherham United,Swansea City,Rotherham United,Rotherham United,D,4-4,4,4,-,-,League Division Three,1978,1978,9,12,4,4
1532,16 Sep 1978,Swansea City v Tranmere Rovers,Swansea City,Tranmere Rovers,Tranmere Rovers,W,4-3,4,3,-,-,League Division Three,1978,1978,9,16,4,3
1533,23 Sep 1978,Chester v Swansea City,Chester,Swansea City,Chester,L,2-0,2,0,-,-,League Division Three,1978,1978,9,23,0,2
1534,25 Sep 1978,Carlisle United v Swansea City,Carlisle United,Swansea City,Carlisle United,L,2-0,2,0,-,-,League Division Three,1978,1978,9,25,0,2
1535,30 Sep 1978,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,2-1,2,1,-,-,League Division Three,1978,1978,9,30,2,1
1536,03 Oct 1978,Queens Park Rangers v Swansea City,Queens Park Rangers,Swansea City,Queens Park Rangers,L,2-0,2,0,-,-,League Cup,1978,1978,10,3,0,2
1537,07 Oct 1978,Chesterfield v Swansea City,Chesterfield,Swansea City,Chesterfield,L,2-1,2,1,-,-,League Division Three,1978,1978,10,7,1,2
1538,14 Oct 1978,Swansea City v Exeter City,Swansea City,Exeter City,Exeter City,W,1-0,1,0,-,-,League Division Three,1978,1978,10,14,1,0
1539,17 Oct 1978,Swansea City v Mansfield Town,Swansea City,Mansfield Town,Mansfield Town,W,3-2,3,2,-,-,League Division Three,1978,1978,10,17,3,2
1540,21 Oct 1978,Hull City v Swansea City,Hull City,Swansea City,Hull City,D,2-2,2,2,-,-,League Division Three,1978,1978,10,21,2,2
1541,28 Oct 1978,Swansea City v Peterborough United,Swansea City,Peterborough United,Peterborough United,W,4-1,4,1,-,-,League Division Three,1978,1978,10,28,4,1
1542,04 Nov 1978,Gillingham v Swansea City,Gillingham,Swansea City,Gillingham,L,2-0,2,0,-,-,League Division Three,1978,1978,11,4,0,2
1543,11 Nov 1978,Bury v Swansea City,Bury,Swansea City,Bury,W,0-1,0,1,-,-,League Division Three,1978,1978,11,11,1,0
1544,18 Nov 1978,Swansea City v Oxford United,Swansea City,Oxford United,Oxford United,D,1-1,1,1,-,-,League Division Three,1978,1978,11,18,1,1
1545,25 Nov 1978,Swansea City v Hillingdon Borough,Swansea City,Hillingdon Borough,Hillingdon Borough,W,4-1,4,1,-,-,FA Cup,1978,1978,11,25,4,1
1546,02 Dec 1978,Swansea City v Sheffield Wednesday,Swansea City,Sheffield Wednesday,Sheffield Wednesday,W,4-2,4,2,-,-,League Division Three,1978,1978,12,2,4,2
1547,08 Dec 1978,Southend United v Swansea City,Southend United,Swansea City,Southend United,W,0-2,0,2,-,-,League Division Three,1978,1978,12,8,2,0
1548,16 Dec 1978,Swansea City v Woking,Swansea City,Woking,Woking,D,2-2,2,2,-,-,FA Cup,1978,1978,12,16,2,2
1549,19 Dec 1978,Woking v Swansea City,Woking,Swansea City,Woking,W,3-5,3,5,-,-,FA Cup,1978,1978,12,19,5,3
1550,23 Dec 1978,Shrewsbury Town v Swansea City,Shrewsbury Town,Swansea City,Shrewsbury Town,L,3-0,3,0,-,-,League Division Three,1978,1978,12,23,0,3
1551,26 Dec 1978,Swansea City v Swindon Town,Swansea City,Swindon Town,Swindon Town,L,1-2,1,2,-,-,League Division Three,1978,1978,12,26,1,2
1552,30 Dec 1978,Swansea City v Blackpool,Swansea City,Blackpool,Blackpool,W,1-0,1,0,-,-,League Division Three,1978,1978,12,30,1,0
1553,08 Jan 1979,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,L,0-1,0,1,-,-,FA Cup,1978,1979,1,8,0,1
1554,02 Feb 1979,Swansea City v Carlisle United,Swansea City,Carlisle United,Carlisle United,D,0-0,0,0,-,-,League Division Three,1978,1979,2,2,0,0
1555,10 Feb 1979,Brentford v Swansea City,Brentford,Swansea City,Brentford,L,1-0,1,0,-,-,League Division Three,1978,1979,2,10,0,1
1556,20 Feb 1979,Walsall v Swansea City,Walsall,Swansea City,Walsall,D,1-1,1,1,-,-,League Division Three,1978,1979,2,20,1,1
1557,24 Feb 1979,Exeter City v Swansea City,Exeter City,Swansea City,Exeter City,L,2-1,2,1,-,-,League Division Three,1978,1979,2,24,1,2
1558,27 Feb 1979,Swansea City v Chester,Swansea City,Chester,Chester,D,2-2,2,2,-,-,League Division Three,1978,1979,2,27,2,2
1559,02 Mar 1979,Swansea City v Hull City,Swansea City,Hull City,Hull City,W,5-3,5,3,-,-,League Division Three,1978,1979,3,2,5,3
1560,06 Mar 1979,Rotherham United v Swansea City,Rotherham United,Swansea City,Rotherham United,W,0-1,0,1,-,-,League Division Three,1978,1979,3,6,1,0
1561,10 Mar 1979,Peterborough United v Swansea City,Peterborough United,Swansea City,Peterborough United,L,2-0,2,0,-,-,League Division Three,1978,1979,3,10,0,2
1562,16 Mar 1979,Swansea City v Gillingham,Swansea City,Gillingham,Gillingham,W,3-1,3,1,-,-,League Division Three,1978,1979,3,16,3,1
1563,20 Mar 1979,Swansea City v Watford,Swansea City,Watford,Watford,W,3-2,3,2,-,-,League Division Three,1978,1979,3,20,3,2
1564,24 Mar 1979,Lincoln City v Swansea City,Lincoln City,Swansea City,Lincoln City,L,2-1,2,1,-,-,League Division Three,1978,1979,3,24,1,2
1565,27 Mar 1979,Swansea City v Colchester United,Swansea City,Colchester United,Colchester United,W,4-1,4,1,-,-,League Division Three,1978,1979,3,27,4,1
1566,31 Mar 1979,Swansea City v Plymouth Argyle,Swansea City,Plymouth Argyle,Plymouth Argyle,W,2-1,2,1,-,-,League Division Three,1978,1979,3,31,2,1
1567,03 Apr 1979,Tranmere Rovers v Swansea City,Tranmere Rovers,Swansea City,Tranmere Rovers,W,1-2,1,2,-,-,League Division Three,1978,1979,4,3,2,1
1568,07 Apr 1979,Sheffield Wednesday v Swansea City,Sheffield Wednesday,Swansea City,Sheffield Wednesday,D,0-0,0,0,-,-,League Division Three,1978,1979,4,7,0,0
1569,10 Apr 1979,Swansea City v Shrewsbury Town,Swansea City,Shrewsbury Town,Shrewsbury Town,D,1-1,1,1,-,-,League Division Three,1978,1979,4,10,1,1
1570,14 Apr 1979,Swindon Town v Swansea City,Swindon Town,Swansea City,Swindon Town,W,0-1,0,1,-,-,League Division Three,1978,1979,4,14,1,0
1571,17 Apr 1979,Swansea City v Walsall,Swansea City,Walsall,Walsall,D,2-2,2,2,-,-,League Division Three,1978,1979,4,17,2,2
1572,21 Apr 1979,Blackpool v Swansea City,Blackpool,Swansea City,Blackpool,W,1-3,1,3,-,-,League Division Three,1978,1979,4,21,3,1
1573,23 Apr 1979,Mansfield Town v Swansea City,Mansfield Town,Swansea City,Mansfield Town,D,2-2,2,2,-,-,League Division Three,1978,1979,4,23,2,2
1574,28 Apr 1979,Swansea City v Southend United,Swansea City,Southend United,Southend United,W,3-2,3,2,-,-,League Division Three,1978,1979,4,28,3,2
1575,05 May 1979,Plymouth Argyle v Swansea City,Plymouth Argyle,Swansea City,Plymouth Argyle,D,2-2,2,2,-,-,League Division Three,1978,1979,5,5,2,2
1576,11 May 1979,Swansea City v Chesterfield,Swansea City,Chesterfield,Chesterfield,W,2-1,2,1,-,-,League Division Three,1978,1979,5,11,2,1
1577,11 Aug 1979,Swansea City v AFC Bournemouth,Swansea City,AFC Bournemouth,AFC Bournemouth,W,4-1,4,1,-,-,League Cup,1979,1979,8,11,4,1
1578,14 Aug 1979,AFC Bournemouth v Swansea City,AFC Bournemouth,Swansea City,AFC Bournemouth,D,0-0,0,0, 1-4,-,League Cup,1979,1979,8,14,0,0
1579,18 Aug 1979,Swansea City v Shrewsbury Town,Swansea City,Shrewsbury Town,Shrewsbury Town,W,2-0,2,0,-,-,League Division Two,1979,1979,8,18,2,0
1580,21 Aug 1979,Watford v Swansea City,Watford,Swansea City,Watford,D,0-0,0,0,-,-,League Division Two,1979,1979,8,21,0,0
1581,25 Aug 1979,Preston North End v Swansea City,Preston North End,Swansea City,Preston North End,D,1-1,1,1,-,-,League Division Two,1979,1979,8,25,1,1
1582,29 Aug 1979,Stoke City v Swansea City,Stoke City,Swansea City,Stoke City,D,1-1,1,1,-,-,League Cup,1979,1979,8,29,1,1
1583,01 Sep 1979,Swansea City v Burnley,Swansea City,Burnley,Burnley,W,2-1,2,1,-,-,League Division Two,1979,1979,9,1,2,1
1584,04 Sep 1979,Swansea City v Stoke City,Swansea City,Stoke City,Stoke City,L,1-3,1,3, 2-4,-,League Cup,1979,1979,9,4,1,3
1585,08 Sep 1979,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,5-0,5,0,-,-,League Division Two,1979,1979,9,8,0,5
1586,15 Sep 1979,Swansea City v Queens Park Rangers,Swansea City,Queens Park Rangers,Queens Park Rangers,L,1-2,1,2,-,-,League Division Two,1979,1979,9,15,1,2
1587,22 Sep 1979,Notts County v Swansea City,Notts County,Swansea City,Notts County,D,0-0,0,0,-,-,League Division Two,1979,1979,9,22,0,0
1588,29 Sep 1979,Swansea City v Leicester City,Swansea City,Leicester City,Leicester City,L,0-2,0,2,-,-,League Division Two,1979,1979,9,29,0,2
1589,06 Oct 1979,Cambridge United v Swansea City,Cambridge United,Swansea City,Cambridge United,W,0-1,0,1,-,-,League Division Two,1979,1979,10,6,1,0
1590,09 Oct 1979,Swansea City v Watford,Swansea City,Watford,Watford,W,1-0,1,0,-,-,League Division Two,1979,1979,10,9,1,0
1591,13 Oct 1979,Swansea City v Fulham,Swansea City,Fulham,Fulham,W,4-1,4,1,-,-,League Division Two,1979,1979,10,13,4,1
1592,20 Oct 1979,Birmingham City v Swansea City,Birmingham City,Swansea City,Birmingham City,L,2-0,2,0,-,-,League Division Two,1979,1979,10,20,0,2
1593,27 Oct 1979,Swansea City v Oldham Athletic,Swansea City,Oldham Athletic,Oldham Athletic,W,2-0,2,0,-,-,League Division Two,1979,1979,10,27,2,0
1594,03 Nov 1979,Shrewsbury Town v Swansea City,Shrewsbury Town,Swansea City,Shrewsbury Town,D,2-2,2,2,-,-,League Division Two,1979,1979,11,3,2,2
1595,10 Nov 1979,Swansea City v Sunderland,Swansea City,Sunderland,Sunderland,W,3-1,3,1,-,-,League Division Two,1979,1979,11,10,3,1
1596,17 Nov 1979,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,2-0,2,0,-,-,League Division Two,1979,1979,11,17,0,2
1597,24 Nov 1979,Swansea City v Newcastle United,Swansea City,Newcastle United,Newcastle United,L,2-3,2,3,-,-,League Division Two,1979,1979,11,24,2,3
1598,01 Dec 1979,Wrexham v Swansea City,Wrexham,Swansea City,Wrexham,L,1-0,1,0,-,-,League Division Two,1979,1979,12,1,0,1
1599,08 Dec 1979,Swansea City v Charlton Athletic,Swansea City,Charlton Athletic,Charlton Athletic,W,1-0,1,0,-,-,League Division Two,1979,1979,12,8,1,0
1600,15 Dec 1979,Chelsea v Swansea City,Chelsea,Swansea City,Chelsea,L,3-0,3,0,-,-,League Division Two,1979,1979,12,15,0,3
1601,21 Dec 1979,Swansea City v Orient,Swansea City,Orient,Orient,L,0-1,0,1,-,-,League Division Two,1979,1979,12,21,0,1
1602,26 Dec 1979,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,L,4-1,4,1,-,-,League Division Two,1979,1979,12,26,1,4
1603,29 Dec 1979,Swansea City v Preston North End,Swansea City,Preston North End,Preston North End,W,1-0,1,0,-,-,League Division Two,1979,1979,12,29,1,0
1604,01 Jan 1980,Swansea City v Cardiff City,Swansea City,Cardiff City,Cardiff City,W,2-1,2,1,-,-,League Division Two,1979,1980,1,1,2,1
1605,05 Jan 1980,Swansea City v Crystal Palace,Swansea City,Crystal Palace,Crystal Palace,D,2-2,2,2,-,-,FA Cup,1979,1980,1,5,2,2
1606,08 Jan 1980,Crystal Palace v Swansea City,Crystal Palace,Swansea City,Crystal Palace,D,3-3,3,3,-,-,FA Cup,1979,1980,1,8,3,3
1607,12 Jan 1980,Burnley v Swansea City,Burnley,Swansea City,Burnley,D,0-0,0,0,-,-,League Division Two,1979,1980,1,12,0,0
1608,14 Jan 1980,Crystal Palace v Swansea City,Crystal Palace,Swansea City,Crystal Palace,W,1-2,1,2,-,-,FA Cup,1979,1980,1,14,2,1
1609,26 Jan 1980,Swansea City v Reading,Swansea City,Reading,Reading,W,4-1,4,1,-,-,FA Cup,1979,1980,1,26,4,1
1610,02 Feb 1980,Queens Park Rangers v Swansea City,Queens Park Rangers,Swansea City,Queens Park Rangers,L,3-2,3,2,-,-,League Division Two,1979,1980,2,2,2,3
1611,09 Feb 1980,Swansea City v Notts County,Swansea City,Notts County,Notts County,L,0-1,0,1,-,-,League Division Two,1979,1980,2,9,0,1
1612,16 Feb 1980,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,2-0,2,0,-,-,FA Cup,1979,1980,2,16,0,2
1613,20 Feb 1980,Leicester City v Swansea City,Leicester City,Swansea City,Leicester City,D,1-1,1,1,-,-,League Division Two,1979,1980,2,20,1,1
1614,23 Feb 1980,Fulham v Swansea City,Fulham,Swansea City,Fulham,W,1-2,1,2,-,-,League Division Two,1979,1980,2,23,2,1
1615,29 Feb 1980,Swansea City v Birmingham City,Swansea City,Birmingham City,Birmingham City,L,0-1,0,1,-,-,League Division Two,1979,1980,2,29,0,1
1616,04 Mar 1980,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,W,2-0,2,0,-,-,League Division Two,1979,1980,3,4,2,0
1617,08 Mar 1980,Oldham Athletic v Swansea City,Oldham Athletic,Swansea City,Oldham Athletic,L,4-1,4,1,-,-,League Division Two,1979,1980,3,8,1,4
1618,14 Mar 1980,Swansea City v Cambridge United,Swansea City,Cambridge United,Cambridge United,L,2-4,2,4,-,-,League Division Two,1979,1980,3,14,2,4
1619,22 Mar 1980,Sunderland v Swansea City,Sunderland,Swansea City,Sunderland,D,1-1,1,1,-,-,League Division Two,1979,1980,3,22,1,1
1620,29 Mar 1980,Swansea City v West Ham United,Swansea City,West Ham United,West Ham United,W,2-1,2,1,-,-,League Division Two,1979,1980,3,29,2,1
1621,05 Apr 1980,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,W,2-0,2,0,-,-,League Division Two,1979,1980,4,5,2,0
1622,07 Apr 1980,Cardiff City v Swansea City,Cardiff City,Swansea City,Cardiff City,L,1-0,1,0,-,-,League Division Two,1979,1980,4,7,0,1
1623,12 Apr 1980,Swansea City v Wrexham,Swansea City,Wrexham,Wrexham,W,1-0,1,0,-,-,League Division Two,1979,1980,4,12,1,0
1624,19 Apr 1980,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,W,1-3,1,3,-,-,League Division Two,1979,1980,4,19,3,1
1625,26 Apr 1980,Swansea City v Chelsea,Swansea City,Chelsea,Chelsea,D,1-1,1,1,-,-,League Division Two,1979,1980,4,26,1,1
1626,30 Apr 1980,Orient v Swansea City,Orient,Swansea City,Orient,D,0-0,0,0,-,-,League Division Two,1979,1980,4,30,0,0
1627,03 May 1980,Charlton Athletic v Swansea City,Charlton Athletic,Swansea City,Charlton Athletic,W,1-2,1,2,-,-,League Division Two,1979,1980,5,3,2,1
1628,16 Aug 1980,Watford v Swansea City,Watford,Swansea City,Watford,L,2-1,2,1,-,-,League Division Two,1980,1980,8,16,1,2
1629,19 Aug 1980,Swansea City v Shrewsbury Town,Swansea City,Shrewsbury Town,Shrewsbury Town,W,2-1,2,1,-,-,League Division Two,1980,1980,8,19,2,1
1630,23 Aug 1980,Queens Park Rangers v Swansea City,Queens Park Rangers,Swansea City,Queens Park Rangers,D,0-0,0,0,-,-,League Division Two,1980,1980,8,23,0,0
1631,26 Aug 1980,Swansea City v Arsenal,Swansea City,Arsenal,Arsenal,D,1-1,1,1,-,-,League Cup,1980,1980,8,26,1,1
1632,30 Aug 1980,Swansea City v Cambridge United,Swansea City,Cambridge United,Cambridge United,D,1-1,1,1,-,-,League Division Two,1980,1980,8,30,1,1
1633,02 Sep 1980,Arsenal v Swansea City,Arsenal,Swansea City,Arsenal,L,3-1,3,1, 4-2,-,League Cup,1980,1980,9,2,1,3
1634,06 Sep 1980,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,W,0-1,0,1,-,-,League Division Two,1980,1980,9,6,1,0
1635,13 Sep 1980,Swansea City v Notts County,Swansea City,Notts County,Notts County,D,1-1,1,1,-,-,League Division Two,1980,1980,9,13,1,1
1636,20 Sep 1980,Bolton Wanderers v Swansea City,Bolton Wanderers,Swansea City,Bolton Wanderers,W,1-4,1,4,-,-,League Division Two,1980,1980,9,20,4,1
1637,27 Sep 1980,Swansea City v Sheffield Wednesday,Swansea City,Sheffield Wednesday,Sheffield Wednesday,L,2-3,2,3,-,-,League Division Two,1980,1980,9,27,2,3
1638,04 Oct 1980,Wrexham v Swansea City,Wrexham,Swansea City,Wrexham,D,1-1,1,1,-,-,League Division Two,1980,1980,10,4,1,1
1639,07 Oct 1980,Swansea City v Oldham Athletic,Swansea City,Oldham Athletic,Oldham Athletic,W,3-0,3,0,-,-,League Division Two,1980,1980,10,7,3,0
1640,11 Oct 1980,Swansea City v Derby County,Swansea City,Derby County,Derby County,W,3-1,3,1,-,-,League Division Two,1980,1980,10,11,3,1
1641,18 Oct 1980,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,W,1-2,1,2,-,-,League Division Two,1980,1980,10,18,2,1
1642,21 Oct 1980,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,D,2-2,2,2,-,-,League Division Two,1980,1980,10,21,2,2
1643,24 Oct 1980,Swansea City v Grimsby Town,Swansea City,Grimsby Town,Grimsby Town,W,1-0,1,0,-,-,League Division Two,1980,1980,10,24,1,0
1644,01 Nov 1980,Blackburn Rovers v Swansea City,Blackburn Rovers,Swansea City,Blackburn Rovers,D,0-0,0,0,-,-,League Division Two,1980,1980,11,1,0,0
1645,08 Nov 1980,Swansea City v Orient,Swansea City,Orient,Orient,L,0-2,0,2,-,-,League Division Two,1980,1980,11,8,0,2
1646,11 Nov 1980,Shrewsbury Town v Swansea City,Shrewsbury Town,Swansea City,Shrewsbury Town,D,0-0,0,0,-,-,League Division Two,1980,1980,11,11,0,0
1647,22 Nov 1980,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,2-0,2,0,-,-,League Division Two,1980,1980,11,22,0,2
1648,28 Nov 1980,Swansea City v Preston North End,Swansea City,Preston North End,Preston North End,W,3-0,3,0,-,-,League Division Two,1980,1980,11,28,3,0
1649,06 Dec 1980,Chelsea v Swansea City,Chelsea,Swansea City,Chelsea,D,0-0,0,0,-,-,League Division Two,1980,1980,12,6,0,0
1650,13 Dec 1980,Swansea City v Newcastle United,Swansea City,Newcastle United,Newcastle United,W,4-0,4,0,-,-,League Division Two,1980,1980,12,13,4,0
1651,16 Dec 1980,Swansea City v Watford,Swansea City,Watford,Watford,W,1-0,1,0,-,-,League Division Two,1980,1980,12,16,1,0
1652,20 Dec 1980,Oldham Athletic v Swansea City,Oldham Athletic,Swansea City,Oldham Athletic,D,2-2,2,2,-,-,League Division Two,1980,1980,12,20,2,2
1653,26 Dec 1980,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,W,2-1,2,1,-,-,League Division Two,1980,1980,12,26,2,1
1654,27 Dec 1980,Cardiff City v Swansea City,Cardiff City,Swansea City,Cardiff City,D,3-3,3,3,-,-,League Division Two,1980,1980,12,27,3,3
1655,03 Jan 1981,Swansea City v Middlesbrough,Swansea City,Middlesbrough,Middlesbrough,L,0-5,0,5,-,-,FA Cup,1980,1981,1,3,0,5
1656,10 Jan 1981,Swansea City v West Ham United,Swansea City,West Ham United,West Ham United,L,1-3,1,3,-,-,League Division Two,1980,1981,1,10,1,3
1657,17 Jan 1981,Cambridge United v Swansea City,Cambridge United,Swansea City,Cambridge United,L,3-1,3,1,-,-,League Division Two,1980,1981,1,17,1,3
1658,31 Jan 1981,Swansea City v Queens Park Rangers,Swansea City,Queens Park Rangers,Queens Park Rangers,L,1-2,1,2,-,-,League Division Two,1980,1981,1,31,1,2
1659,07 Feb 1981,Notts County v Swansea City,Notts County,Swansea City,Notts County,L,2-1,2,1,-,-,League Division Two,1980,1981,2,7,1,2
