,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
668,09 Sep 1961,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,W,3-2,3,2,-,-,League Division Two,1961,1961,9,9,3,2
669,16 Sep 1961,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,D,2-2,2,2,-,-,League Division Two,1961,1961,9,16,2,2
670,19 Sep 1961,Swansea City v Derby County,Swansea City,Derby County,Derby County,W,3-1,3,1,-,-,League Division Two,1961,1961,9,19,3,1
671,23 Sep 1961,Swansea City v Middlesbrough,Swansea City,Middlesbrough,Middlesbrough,D,3-3,3,3,-,-,League Division Two,1961,1961,9,23,3,3
672,30 Sep 1961,Walsall v Swansea City,Walsall,Swansea City,Walsall,D,0-0,0,0,-,-,League Division Two,1961,1961,9,30,0,0
673,03 Oct 1961,Swansea City v Ipswich Town,Swansea City,Ipswich Town,Ipswich Town,D,3-3,3,3,-,-,League Cup,1961,1961,10,3,3,3
674,07 Oct 1961,Swansea City v Scunthorpe United,Swansea City,Scunthorpe United,Scunthorpe United,W,2-1,2,1,-,-,League Division Two,1961,1961,10,7,2,1
675,14 Oct 1961,Norwich City v Swansea City,Norwich City,Swansea City,Norwich City,L,2-1,2,1,-,-,League Division Two,1961,1961,10,14,1,2
676,16 Oct 1961,Swansea City v Motor Jena,Swansea City,Motor Jena,Motor Jena,D,2-2,2,2,-,-,UEFA European Cup Winners Cup,1961,1961,10,16,2,2
677,18 Oct 1961,Motor Jena v Swansea City,Motor Jena,Swansea City,Motor Jena,L,5-1,5,1, 7-3,-,UEFA European Cup Winners Cup,1961,1961,10,18,1,5
678,21 Oct 1961,Swansea City v Leeds United,Swansea City,Leeds United,Leeds United,W,2-1,2,1,-,-,League Division Two,1961,1961,10,21,2,1
679,24 Oct 1961,Ipswich Town v Swansea City,Ipswich Town,Swansea City,Ipswich Town,L,3-2,3,2,-,-,League Cup,1961,1961,10,24,2,3
680,28 Oct 1961,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,L,4-1,4,1,-,-,League Division Two,1961,1961,10,28,1,4
681,04 Nov 1961,Swansea City v Stoke City,Swansea City,Stoke City,Stoke City,W,1-0,1,0,-,-,League Division Two,1961,1961,11,4,1,0
682,11 Nov 1961,Bury v Swansea City,Bury,Swansea City,Bury,D,1-1,1,1,-,-,League Division Two,1961,1961,11,11,1,1
683,18 Nov 1961,Swansea City v Rotherham United,Swansea City,Rotherham United,Rotherham United,D,2-2,2,2,-,-,League Division Two,1961,1961,11,18,2,2
684,25 Nov 1961,Liverpool v Swansea City,Liverpool,Swansea City,Liverpool,L,5-0,5,0,-,-,League Division Two,1961,1961,11,25,0,5
685,02 Dec 1961,Swansea City v Charlton Athletic,Swansea City,Charlton Athletic,Charlton Athletic,W,1-0,1,0,-,-,League Division Two,1961,1961,12,2,1,0
686,09 Dec 1961,Sunderland v Swansea City,Sunderland,Swansea City,Sunderland,L,7-2,7,2,-,-,League Division Two,1961,1961,12,9,2,7
687,23 Dec 1961,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,W,3-0,3,0,-,-,League Division Two,1961,1961,12,23,3,0
688,26 Dec 1961,Leyton Orient v Swansea City,Leyton Orient,Swansea City,Leyton Orient,L,1-0,1,0,-,-,League Division Two,1961,1961,12,26,0,1
689,30 Dec 1961,Swansea City v Leyton Orient,Swansea City,Leyton Orient,Leyton Orient,L,1-3,1,3,-,-,League Division Two,1961,1961,12,30,1,3
690,09 Jan 1962,Sheffield Wednesday v Swansea City,Sheffield Wednesday,Swansea City,Sheffield Wednesday,L,1-0,1,0,-,-,FA Cup,1961,1962,1,9,0,1
691,13 Jan 1962,Swansea City v Southampton,Swansea City,Southampton,Southampton,L,0-1,0,1,-,-,League Division Two,1961,1962,1,13,0,1
692,20 Jan 1962,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,5-1,5,1,-,-,League Division Two,1961,1962,1,20,1,5
693,02 Feb 1962,Swansea City v Newcastle United,Swansea City,Newcastle United,Newcastle United,W,3-2,3,2,-,-,League Division Two,1961,1962,2,2,3,2
694,10 Feb 1962,Middlesbrough v Swansea City,Middlesbrough,Swansea City,Middlesbrough,W,1-3,1,3,-,-,League Division Two,1961,1962,2,10,3,1
695,17 Feb 1962,Swansea City v Walsall,Swansea City,Walsall,Walsall,L,1-3,1,3,-,-,League Division Two,1961,1962,2,17,1,3
696,23 Feb 1962,Scunthorpe United v Swansea City,Scunthorpe United,Swansea City,Scunthorpe United,L,2-0,2,0,-,-,League Division Two,1961,1962,2,23,0,2
697,03 Mar 1962,Swansea City v Norwich City,Swansea City,Norwich City,Norwich City,L,0-3,0,3,-,-,League Division Two,1961,1962,3,3,0,3
698,10 Mar 1962,Leeds United v Swansea City,Leeds United,Swansea City,Leeds United,L,2-0,2,0,-,-,League Division Two,1961,1962,3,10,0,2
699,17 Mar 1962,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,D,1-1,1,1,-,-,League Division Two,1961,1962,3,17,1,1
700,24 Mar 1962,Stoke City v Swansea City,Stoke City,Swansea City,Stoke City,D,0-0,0,0,-,-,League Division Two,1961,1962,3,24,0,0
701,26 Mar 1962,Huddersfield Town v Swansea City,Huddersfield Town,Swansea City,Huddersfield Town,L,3-1,3,1,-,-,League Division Two,1961,1962,3,26,1,3
702,31 Mar 1962,Swansea City v Bury,Swansea City,Bury,Bury,L,0-1,0,1,-,-,League Division Two,1961,1962,3,31,0,1
703,07 Apr 1962,Rotherham United v Swansea City,Rotherham United,Swansea City,Rotherham United,W,1-2,1,2,-,-,League Division Two,1961,1962,4,7,2,1
704,21 Apr 1962,Charlton Athletic v Swansea City,Charlton Athletic,Swansea City,Charlton Athletic,L,3-2,3,2,-,-,League Division Two,1961,1962,4,21,2,3
